,precision,recall,f1-score,support
0,0.9998798472958821,0.9993727958046542,0.9996262572509371,1906875.0
1,0.9987457724877435,0.9997596073096174,0.9992524327412425,952608.0
accuracy,0.9995016581668784,0.9995016581668784,0.9995016581668784,0.9995016581668784
macro avg,0.9993128098918128,0.9995662015571358,0.9994393449960899,2859483.0
weighted avg,0.9995020416803806,0.9995016581668784,0.9995017213755599,2859483.0
